HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3LBXNTKX0RV74ES2Y95OY5JYVG49XB,A3KLBST8556SVQ,Approved,"Wed Mar 30 21:28:02 PDT 2016","Wed Mar 30 21:29:34 PDT 2016",  very less time!,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3QBD8R3Z21JJDZ8YGNM1YKHPXKL4O5,A10H1H4FU0S098,Approved,"Wed Mar 30 21:28:58 PDT 2016","Wed Mar 30 21:30:44 PDT 2016","  no comments
thank you.",Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",32RIADZISS4YBR0RN43AIPRQU9O4S2,ASN25PIODXIPJ,Approved,"Wed Mar 30 21:29:47 PDT 2016","Wed Mar 30 21:32:16 PDT 2016","  Wow, that was short! I usually take notes for surveys, and that strategy did not work this time as I didn't have time to read all of the post. ",Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3E13VNJ1NNVSPE0CVAQUGPE09RBI1A,A3G7JRU7FLEMBY,Approved,"Wed Mar 30 21:38:00 PDT 2016","Wed Mar 30 21:38:44 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3TXD01ZLD4HEQ4SVC9YAXQ9EF69U48,A2Q3KN46PUMMX2,Approved,"Wed Mar 30 21:42:59 PDT 2016","Wed Mar 30 21:45:00 PDT 2016","i probably wouldn't remember the average name from someone after just reading a post. i usually focus more on content, and in this case, the actual story was more interesting than the facebook post, which was more generic and expected. So I guess I'd be remember more details about the story than the post, I'm not sure if that's a strategy or not.",Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3A1PQ49WVHHSTJPSPS89GDDL9EX1H1,A35G24ZWHJGG0L,Approved,"Wed Mar 30 21:46:10 PDT 2016","Wed Mar 30 21:47:44 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3KYQYYSHYV7WDVRR9YNU1OBVAXFOD3,A2IBLAKBXPA6PQ,Approved,"Wed Mar 30 21:50:28 PDT 2016","Wed Mar 30 21:51:22 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",36ZN444YTRYDL67D1CO5SLR822NIOZ,A2X6K5T4P6GXTY,Approved,"Wed Mar 30 21:49:10 PDT 2016","Wed Mar 30 21:51:23 PDT 2016",  I haven't read the message completely. I just started with it and the message closed.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3I3WADAZ9Q419ICYUS5B3CN3XGH5OC,A16BZHTVTU4976,Approved,"Wed Mar 30 21:51:20 PDT 2016","Wed Mar 30 21:52:04 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",36AHBNMV1RC879VTFLWS3F9XO7EDY3,A1CO4EINRZCSSK,Approved,"Wed Mar 30 21:55:19 PDT 2016","Wed Mar 30 21:56:20 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3TYCR1GOTCJRABTQOOWZ0ZQ43AKLZI,A27GZN1JOOIAUW,Approved,"Wed Mar 30 21:55:52 PDT 2016","Wed Mar 30 21:57:19 PDT 2016",  It would have been easier if the time allotted may be little bit more.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",31QTRG6Q2TDHW6YJKUNN39QM2QHPYT,ARR3UJTM2ZGK4,Approved,"Wed Mar 30 22:00:31 PDT 2016","Wed Mar 30 22:02:03 PDT 2016",  I would have read faster if I had known exactly how long I had to read it. I was unable to finish reading everything.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",33ISQZVXPPMLZEOAJXJSMIZW0JKCCU,ASEJP2G758TR3,Approved,"Wed Mar 30 22:01:43 PDT 2016","Wed Mar 30 22:03:04 PDT 2016",  I remembered nothing from the post.  I didn't have nearly enough time to process it all.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3VAR3R6G1P1KW0V0SQCEFWXUZ6JO8Y,AWW1J4HVCJ7NQ,Approved,"Wed Mar 30 22:06:40 PDT 2016","Wed Mar 30 22:08:33 PDT 2016",  Very nice task unable to answer but nice task,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3I7DHKZYGN0735Z5VPMLGIEP5FR5FR,A3ABJN1IL7UCZ8,Approved,"Wed Mar 30 22:07:50 PDT 2016","Wed Mar 30 22:09:18 PDT 2016",  NO,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3LPW2N6LKT2WMNWVQEHK2IFSF265UQ,A2FLHXD97VI8F4,Approved,"Wed Mar 30 22:11:09 PDT 2016","Wed Mar 30 22:11:39 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",336YQZE83VED9FRMHCQYB8YY2G3M5F,A2P49IZLX57BEF,Approved,"Wed Mar 30 22:11:09 PDT 2016","Wed Mar 30 22:13:21 PDT 2016",  I didn't even have time to read the article itself. In the time you gave me I was able to read the post by the person who's name I didn't pay much attention to. There really wasn't any strategy as I didn't have much time to process anything.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",384PI804XS1HC3IQ43G86M1DDXAS0C,A24JJH2D9IH2FZ,Approved,"Wed Mar 30 22:14:14 PDT 2016","Wed Mar 30 22:15:05 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3H7Z272LX77XW7RK1FYX91OQTBEPL2,A2VC6BTV3WN1US,Approved,"Wed Mar 30 22:18:49 PDT 2016","Wed Mar 30 22:19:25 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3IO1LGZLK9XU7UPWSUQKYWB3E6Q86U,A3G9TPFF9WCGLV,Approved,"Wed Mar 30 22:19:27 PDT 2016","Wed Mar 30 22:21:10 PDT 2016",  I couldnt read fast enough to remember all of the questions answers,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3EICBYG644W87SUGTP0E9MCRQ3UCJ9,A1BPHW0KCTG34P,Approved,"Wed Mar 30 22:24:00 PDT 2016","Wed Mar 30 22:24:45 PDT 2016",  none,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3VHHR074H3H8Q1NK5T4G9FX5TH8L7R,A398QALFM1N3PT,Approved,"Wed Mar 30 22:26:38 PDT 2016","Wed Mar 30 22:27:23 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3TDXMTX3CBUNW0191G2BBL5HH2UI6B,A2ONWYQSKY0YTH,Approved,"Wed Mar 30 22:27:52 PDT 2016","Wed Mar 30 22:28:32 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",388U7OUMF715BOIDPEG3GCWHRVSR0O,A6FFYGIDYQ3MO,Approved,"Wed Mar 30 22:28:05 PDT 2016","Wed Mar 30 22:28:55 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3P1L2B7AD1PFB7FJMFLIK1J0J6JLOI,A1RROEUFR0F2DU,Approved,"Wed Mar 30 22:28:21 PDT 2016","Wed Mar 30 22:29:15 PDT 2016",  performed fairly ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3VSOLARPKB9VOGLOEKY0RPUUOL693E,A3RC8HB2R46V8F,Approved,"Wed Mar 30 22:28:58 PDT 2016","Wed Mar 30 22:29:43 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3I2PTA7R3TU7CDAHGS1LU61L97VQKR,A2X52R3VD4ICZM,Approved,"Wed Mar 30 22:29:29 PDT 2016","Wed Mar 30 22:30:55 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",39N5ACM9HEN2V5QBCIV74SXVTHY9PQ,A2MUCL20GTQJA0,Approved,"Wed Mar 30 22:36:47 PDT 2016","Wed Mar 30 22:39:12 PDT 2016",I focused on the article more than the post itself. ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",39ASUFLU6X7OZAJJ6KLAQJK9MDNEXT,A1UZB0QSRDS29X,Approved,"Wed Mar 30 22:38:49 PDT 2016","Wed Mar 30 22:40:14 PDT 2016",I am only confident on the country that this was referring to.  I was not sure on the name of the individual nor the amount of people that dies if any.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3ZV9H2YQQD760CYW7V8S5925MMRW3R,A252Z0ZJ7PF59Q,Approved,"Wed Mar 30 22:48:49 PDT 2016","Wed Mar 30 22:49:56 PDT 2016","  I realized I don't so much pay attention to who is posting, but the content and then if there is time go to see who posted or that I rely on the photo and not the actual name.",Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",33NF62TLXJ2QQQ64L2HCX5PZVC5JKV,A29AX5O8KL48F8,Approved,"Wed Mar 30 22:51:28 PDT 2016","Wed Mar 30 22:52:47 PDT 2016",  it really was too quick had not even finished reading it before it zoomed by...,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3CPLWGV3MOZ2SKEYW3IF03S0T2Y9NV,A2DVDD9IZXO9DV,Approved,"Wed Mar 30 22:54:39 PDT 2016","Wed Mar 30 22:56:23 PDT 2016","  once i read the status there wast enough time to read / fully digest the blurb. unless this is an intentional strategy, maybe the time should be reconsidered.",Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3EJPLAJKEMG9RQQJ1KQXBG87DFY6ZY,A2AADXSO2P4QTD,Approved,"Wed Mar 30 22:59:14 PDT 2016","Wed Mar 30 23:01:17 PDT 2016",  Nice and different survey.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",32AT8R96GL9XSPU62AUSVTPKTMGUSJ,A2K1FEPBGBOQ69,Approved,"Wed Mar 30 23:01:50 PDT 2016","Wed Mar 30 23:02:57 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3E1QT0TDFP9A0EKXUVZ9VZ18NXMI8Z,A32UG2P47Y7M1A,Approved,"Wed Mar 30 23:02:39 PDT 2016","Wed Mar 30 23:03:56 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3P4RDNWND56ZKVGGLZW0KPAM38GIJJ,A2JJHLWZKVOPQQ,Approved,"Wed Mar 30 23:04:44 PDT 2016","Wed Mar 30 23:05:46 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",373ERPL3YO86RXF4NG4D0NYMO6RRT2,A2J7V4HR1D2CAF,Approved,"Wed Mar 30 23:09:48 PDT 2016","Wed Mar 30 23:10:37 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3MAOD8E57QASTGWWZJOTG6EI05QXN3,A1QKUOT0U0LZS5,Approved,"Wed Mar 30 23:17:16 PDT 2016","Wed Mar 30 23:17:53 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",30LSNF239UVZEZI8EEQ8L8O51XVI2X,A75DSL5ZLKAD4,Approved,"Wed Mar 30 23:18:29 PDT 2016","Wed Mar 30 23:19:26 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3DEL4X4EL6LM5F0A6LX4XMCP4PUXYT,A1GA9VJXJ4SZR3,Approved,"Wed Mar 30 23:22:27 PDT 2016","Wed Mar 30 23:23:42 PDT 2016",  What to enter if you don't remember.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",38F71OA9GTW5BCKBNO37XKPBRALMF2,A2COVA7FSAIH3D,Approved,"Wed Mar 30 23:38:50 PDT 2016","Wed Mar 30 23:39:39 PDT 2016","Focused on the content, missed the poster",Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3SNLUL3WO4NAOCZGI1XRJ7BP1SBUL8,A1ES0KWZ144MQH,Approved,"Wed Mar 30 23:53:23 PDT 2016","Wed Mar 30 23:54:14 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3EG49X351UCKMVQ4022CEVSW5F4X6W,A9ZUPULJTZ61S,Approved,"Thu Mar 31 00:08:20 PDT 2016","Thu Mar 31 00:10:22 PDT 2016",  I started with reading the post and then the piece of new article. just had a vague visual of the name of the person who posted this. ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3AUQQEL7U5TX4VZUYYLDH9LKC1AV0Q,ACQ1B7MAA7NCV,Approved,"Thu Mar 31 00:09:58 PDT 2016","Thu Mar 31 00:11:30 PDT 2016",  Thanks. No issues,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3CFJTT4SXTQ600FEKQ73HZ5DCDK7I5,AJH0YOW6PLSS8,Approved,"Thu Mar 31 00:10:41 PDT 2016","Thu Mar 31 00:11:49 PDT 2016",No comments.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3R08VXYT7CVO1VZJ97BIIQELROI7WC,A39Y94WIDCZOCO,Approved,"Thu Mar 31 00:14:28 PDT 2016","Thu Mar 31 00:15:27 PDT 2016",  Read the post. Posted what I remembered. Nothing fancy.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3Z4AIRP3C6DPF9P7UWQVJZ1FX4P1X3,A3SE7PQPDISQUB,Approved,"Thu Mar 31 00:23:50 PDT 2016","Thu Mar 31 00:27:21 PDT 2016",I think I only got the first question right. Next time I'll try to make a mental note.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3VP0C6EFSGW9SJR0MV033ECYYBMM63,AYX1N1YJ02C17,Approved,"Thu Mar 31 00:31:27 PDT 2016","Thu Mar 31 00:32:12 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3I2PTA7R3TU7CDAHGS1LU61L975QK1,A3ER9KOF5BNEWZ,Approved,"Thu Mar 31 01:21:22 PDT 2016","Thu Mar 31 01:23:07 PDT 2016",  I was trying to read so fast that it seems the information left my brain as soon as I stopped reading. Strange.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3ATTHHXXWAO0FFL523B1BYI1E63IXF,A3PBM949JNB41V,Approved,"Thu Mar 31 01:34:54 PDT 2016","Thu Mar 31 01:36:15 PDT 2016",I was surprised that I didn't even notice the poster's name. I tried to read the article but didn't have enough time.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3LWJHTCVCCMWWRI3FHAOET9G1BPFQP,A1WF1X8PQQJ2OQ,Approved,"Thu Mar 31 01:47:42 PDT 2016","Thu Mar 31 01:49:51 PDT 2016",  I can't remember ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3TU5ZICBRD1NHC8G734I41SUE7EQ8L,A2G5MMDZL93006,Approved,"Thu Mar 31 02:52:32 PDT 2016","Thu Mar 31 02:53:23 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3PM8NZGV8YGDWD9OFBGAK09N5GNQXT,A2W09VJMFYI2PQ,Approved,"Thu Mar 31 02:57:12 PDT 2016","Thu Mar 31 02:58:23 PDT 2016",  None,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",31HQ4X3T3SAU9Z7CTW2R46T1GVZSLZ,A3EKBCY6VYH0ZG,Approved,"Thu Mar 31 03:08:47 PDT 2016","Thu Mar 31 03:09:50 PDT 2016",  Agh! I did awful -- so embarrassing! ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3R9WASFE2ZG5AJJU2DT15MLK6EDFZM,A1UYVA1O1G2UJP,Approved,"Thu Mar 31 03:28:23 PDT 2016","Thu Mar 31 03:29:44 PDT 2016",  it is really very different experience,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",36DSNE9QZ5Y9GHRJJU954M68FHRJOR,ANMXMEB55AGM6,Approved,"Thu Mar 31 03:44:19 PDT 2016","Thu Mar 31 03:45:21 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",30BXRYBRP4XLUK5VMGXU933F5SNHWZ,AJAZ6PWRHH6D8,Approved,"Thu Mar 31 03:53:05 PDT 2016","Thu Mar 31 03:53:47 PDT 2016",  nice task,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3L70J4KAZGM7BRXQZFIC0TRQLHRAD8,A2SOKKU8ZSBTFY,Approved,"Thu Mar 31 03:55:58 PDT 2016","Thu Mar 31 03:57:02 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",36ZN444YTRYDL67D1CO5SLR8233OIN,A37U181QDB0FQX,Approved,"Thu Mar 31 04:13:20 PDT 2016","Thu Mar 31 04:14:47 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",354P56DE9K3VUEIAP21HL1B0LCW7S9,A3N1W4VYI7VXEV,Approved,"Thu Mar 31 04:20:01 PDT 2016","Thu Mar 31 04:20:46 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3G2UL9A02DEQ7GKDIPYEKWF83N076O,ASDKBXZBSJNZD,Approved,"Thu Mar 31 04:58:21 PDT 2016","Thu Mar 31 04:59:21 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",33TIN5LC04AW4JIC35RQHJQ7XNH9Y2,A3IPMCB9WI5B3M,Approved,"Thu Mar 31 05:05:26 PDT 2016","Thu Mar 31 05:06:10 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3YDTZAI2WXGYH71XALOQMO4H4AV141,A1OENFKP5MIOXE,Approved,"Thu Mar 31 05:06:58 PDT 2016","Thu Mar 31 05:08:24 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",31QTRG6Q2TDHW6YJKUNN39QM2RZYPM,A1IM8G6UNAGQ7S,Approved,"Thu Mar 31 05:06:35 PDT 2016","Thu Mar 31 05:08:32 PDT 2016",  GOOD,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3LWJHTCVCCMWWRI3FHAOET9G1CVFQX,A3JODCUHJMCSA2,Approved,"Thu Mar 31 05:08:37 PDT 2016","Thu Mar 31 05:09:16 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",33M4IA01QG1D8EOOSQ5APQJS13SXR6,A31CIGIXSME51P,Approved,"Thu Mar 31 05:08:41 PDT 2016","Thu Mar 31 05:09:41 PDT 2016",The amount of time given was just enough to gain the basic meaning of the post. ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",33IZTU6J811P9TO17F5FF0OON5BXSU,A2HNL20X0Q9BP0,Approved,"Thu Mar 31 05:08:47 PDT 2016","Thu Mar 31 05:09:41 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3ZAZR5XV01IY77ZKBB30XG0H92OCZD,A3GPX80VVUK1UO,Approved,"Thu Mar 31 05:08:45 PDT 2016","Thu Mar 31 05:10:03 PDT 2016",Did not realize it would be a memory task. Didn't remember a thing.,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",358UUM7WRZ3JTZIXAD1CVR64ZAE7RM,A3V2V6GPIQQMUJ,Approved,"Thu Mar 31 05:08:59 PDT 2016","Thu Mar 31 05:10:23 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3FIJLY1B6U4BWFHOF4VZEOJ6WG9FP6,A278NFL4DYN322,Approved,"Thu Mar 31 05:08:38 PDT 2016","Thu Mar 31 05:10:25 PDT 2016",  I tried to scan the highlights of the post,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3TXD01ZLD4HEQ4SVC9YAXQ9EF7S4U3,A2HPEX0788BPXI,Approved,"Thu Mar 31 05:09:58 PDT 2016","Thu Mar 31 05:10:51 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3BV8HQ2ZZW18QIIBPSAYUNHY4V6A6I,A39P7J60DY4WLU,Approved,"Thu Mar 31 05:09:45 PDT 2016","Thu Mar 31 05:10:52 PDT 2016",That was very quick and I don't think that I got the death count completely correct but I think it may have been close? Thanks!,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3HVVDCPGTESFOYRQ1BW78JRJRUKYTR,A29LGLYSB9WQ8H,Approved,"Thu Mar 31 05:08:48 PDT 2016","Thu Mar 31 05:10:58 PDT 2016","  I skimmed the post, while trying to focus on key points of it.",Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3NQL1CS15R8U1QVF66WM91F4OF0YV7,A1VCAMP3XM62R4,Approved,"Thu Mar 31 05:09:51 PDT 2016","Thu Mar 31 05:11:01 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3DH6GAKTYYPBAA0P73LPU7S0CQ6YZ7,A1OD9OA9B34FL,Approved,"Thu Mar 31 05:10:57 PDT 2016","Thu Mar 31 05:11:42 PDT 2016",  thanks!,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3SB5N7Y3O34EMY9Z93MRH8IAPNXG0Z,ADA2OSS2VKL8T,Approved,"Thu Mar 31 05:11:32 PDT 2016","Thu Mar 31 05:12:27 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",34Q075JO1XDHIJJWRK1OALE4NYE01J,ABE0TGK79GGLA,Approved,"Thu Mar 31 05:11:26 PDT 2016","Thu Mar 31 05:12:48 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3XLBSAQ9Z4CSVQ4OKUVPHU838RX7ZF,A21ZMR7O42OSMI,Approved,"Thu Mar 31 05:11:41 PDT 2016","Thu Mar 31 05:12:49 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3RXPCZQMQPBETNUH5MQRVD1KUF41GO,A2RBNMRC6942T0,Approved,"Thu Mar 31 05:12:20 PDT 2016","Thu Mar 31 05:13:03 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3Z7VU45IPYHEK4PMVEEGGKHQ55XZ1A,A19SEZVIVAMGVZ,Approved,"Thu Mar 31 05:12:46 PDT 2016","Thu Mar 31 05:13:26 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",336KAV9KYQSL4ZXDIWCB7WITRH72Y3,A2D2QC99X4UZSK,Approved,"Thu Mar 31 05:12:54 PDT 2016","Thu Mar 31 05:13:32 PDT 2016",  ,Complete HIT,
